text,x,y
"For those of you that think credit/debit is just as good as #bitcoin when it comes to combating #coronavirus, keep in mind that this is not a ""contactless transaction.""  How many people at your grocery store or gas station touch this keypad every day? https://t.co/WVq8bb9OlS",9.661877,5.003172
Consumers have increased their online shopping due to coronavirus. https://t.co/5mYfz3RAD0 #retail #ecommerce #study #coronavirus https://t.co/Dz3H6zrWUT,9.817556,5.398547
One of the BEAUTIFUL things about working at home and having a strictly online small business? Covid-19 isnt transmittable through email. So keep shopping!  https://t.co/qJkUcaWGC2,9.193828,4.861913
"The #Coronavirus crisis will speed up the technological revolution as schools, health services, shopping and work will go online at an even faster pace than before. See ""The Robots are Coming"": https://t.co/2bKMJcaYa5 
@vintagebooks https://t.co/EjYZ9rabTu",9.21939,5.7641544
"The #Coronavirus crisis will speed up the technological revolution as schools, health services, shopping and work will go online at an even faster pace than before. See ""The Robots are Coming"", Page 234: https://t.co/Yck5Zmfa4j @vintagebooks",9.227866,5.74835
"When the #CPTSD therapist recommends that you go out among people to isolate yourself less and the government then advises you to stay at home, recommend self-isolation, and you then consider to not even go out shopping anymore and instead do that online too ???? #Coronavirus",9.439693,5.029321
"#CancelEverything is #tending due to #COVID19 #coronavirus, so it looks like shopping online and reading books is in ?? https://t.co/jYrZ5zIhSg",9.690427,5.106445
"Since the #coronavirus is now a  #pandemic, I will be online shopping for most of my stuff &amp; limiting how much I go outside. 

All items purchased from us will be in its original packaging &amp; handled w/ gloves.

Be safe, Be blessed ???",9.673892,4.8562317
"#Coronavirus shifts online shopping habits. #eCommerce 

https://t.co/eELVHjauQd https://t.co/wfFkfDCpMq",9.920255,5.320934
"Home shopping could double if #Coronavirus takes hold in the UK, as consumers switch from buying food and household items in stores to online.  https://t.co/t5teSX87vU  

Is your #business ready to meet this demand? 

Via @PostalTechNews https://t.co/o45h0Jdi8E",10.04644,5.1674967
"Anxiety over the #coronavirus is driving grocery shoppers online, where theyre able to purchase the #CPG items they need without risking exposure to crowds of people. Is this the catalyst that online grocery needed to change deep rooted consumer shopping habits?",10.118622,5.238918
"Our #webinar will be live in just 10 min! NetElixirs Founder and CEO will discuss any shifts in consumer online shopping and searching behavior and any changes we have seen in ecommerce sales during the #CoronavirusOutbreak. Follow along for updates.
#NetElixir #coronavirus",9.807043,5.4253006
"The key metrics we considered for online shopping behavior were latency in number of days between first website landing and first purchase and number of website landings prior to first purchase.
#NetElixir #coronavirus #covid19 #webinar #onlineshopping",9.849196,5.484622
Im gonna apologize to my bank now for all the online shopping Ill be doing once im quarantined ??? #sorrynotsorry #Corona #coronavirus #COVID19 https://t.co/UM0UPy0C7J,9.199357,4.9494634
Coronavirus is hurting store traffic and e-commerce won't help much #Retail #coronavirus  https://t.co/ad2ZaodeVo,9.823786,4.992609
"How Retailers can handle difficult trading due to Coronavirus. Conversion will probably be the biggest challenge in store for Retailers.
https://t.co/No5Oq1ei2g

#coronavirus #retailers #retail #conversionrate",9.813482,4.9408903
The continuing outbreak of #coronavirus (COVID-19) is affecting two key U.S. e-commerce metrics. Read more: https://t.co/C1G69ZSQ04 #COVID19 #ecommerce #onlineshopping #shoppers #consumers #retail https://t.co/sYjJEgXOmr,9.8514595,5.467924
"As an optimist I look at the bright side of the #coronavirus

My wife no longer wants to take expensive trip to Asia

She no longer buys anything online because everything is made overseas

She no longer goes shopping because of panicked toilet paper mobs

Blessings in disguise? https://t.co/9oTdiv4Agc",10.138969,4.838181
@retailgeek Howdy. I am back in the business of retail trend data! Lates on the impact of the #COVID19 shopping surge with shopping session data. https://t.co/bZgqn5X2UR,9.4453125,4.9638963
"#COVID19 Online Shopping Impact Data. #retail, #GoDigital https://t.co/bZgqn5X2UR",9.380202,4.8496017
"COVID-19 will accelerate the move to remote work, remote shopping, online interaction and the ongoing change in how we socialize, worship and communicate. This is not just an event - this will permanently shift how we leverage technology to do these things.  #disruption #tech https://t.co/KU9FSpzz9Q",9.085601,5.699123
online shopping is more sterile and safe? Think about the delivery vans and the staff #coronavirus #cornoravirusuk,9.857242,5.0172763
covid-19 rly about to hit my bank acct with all these groceries and online shopping imma be totally unable to avoid,9.136195,5.1069984
"****IMPORTANT MESSAGE FOR YOU ALL RE: COVID-19 CORONAVIRUS. PLEASE READ****

?? I have seen a few posts online lately saying that people are slowing down their internet shopping because they may be worried about https://t.co/eEnsmMV3vE",9.540655,5.0270047
"Services that will be in on high-demand in this COVID-19 season;
- Netflix and/or other on-demand video streaming ser
- High usage of internet/mobile data. 
- Food delivery service/online shopping
- Online training courses
- Online video streaming and games 

#StaySafePH",8.927454,5.73936
"Hopefully with this #Coronavirus outbreak, it'll push businesses to offer online shopping *cough* car dealerships and small restaurants *cough*",9.561703,5.491252
Egyptian retailers now touting online shopping ? in response to #Coronavirus https://t.co/P3ZfjJJyIL,9.935501,5.2664456
Consumers in the U.S. have been slow to embrace online grocery shopping until now. But that mentality is starting to change in the era of #coronavirus. @SPGMarketIntel's @KatieArcieri reports: https://t.co/bWSBXnRqFc https://t.co/ucV82rKRbt,10.261899,5.0210323
"Smartphones are the main devices for online shopping during peaks - seen at @DigitalCityFest today. Thanks @markbodoano!?? 

I reckon #retailers with mobile-responsive websites are likely to benefit the most from this #coronavirus #lockdown

Thoughts??

#unifiedcommerce #DCF2020 https://t.co/1VnwBtvUQE",9.864279,5.3832493
"2/3 There is no doubt that consumer behavior is different right now with heavy impacts on industries such as events, travel and hospitality. However, online touchpoints for giants like Amazon are already seeing a spike in reach alongside brands like @Clorox or @Netflix. #Covid_19",9.633131,5.6941953
"I think online shopping has a great future

Fuck you #Covid_19",9.321976,5.4022827
"Now is the time for @netflix @PrimeVideo and others to lower their prices and get some new people in. Be forthcoming in this time of recommended social distancing. It will be a smart ""investment"" in the long run.
#COVID19 #CoronavirusPandemic #Covid_19 #Netflix #PrimeVideo",8.883886,5.7878714
"Are you interested?
Get a $500 Supermarket Gift Card for @australian
Click here: https://t.co/nnJKj1ES79

#gift #GiftCard #Supermarkets #Covid_19 #HeartbreakWeatherWatch https://t.co/uoHvCepkIO",8.817103,5.1571064
"Major online initiatives of China's selected department stores and shopping malls during the COVID-19 outbreak (as of 28 February 2020).  https://t.co/suMv8Krfgg

#ecommerce #O2O #retail #china https://t.co/tCFSgQrww8",9.867596,5.556987
@AmberScholl Your online shopping is gonna be working overtime if they make us all self-quarantine due to #coronavirus ?,9.527134,4.825128
"Im more worried how Ill cope not being able to get online shopping delivered if we go into lockdown ...

#CoronaVirusUpdate #CoronaOutbreak #Covid_19 #coronavirus",9.90657,4.7581115
me adding items on my online shopping cart cause prices are low due to covid-19 outbreak with a bank balance of $1.89 https://t.co/0d8R1MCotX,8.945631,5.133665
"This #coronavirus is demonstrating the inequity of learning technologies. Everybody seems to think that every child has a school computer and broadband access for learning, telemedicine, online shopping. Even just outside NYC https://t.co/PXv49qVi8x (3/3)",9.241024,5.749107
"With this COVID-19 of staying home, predictions: 1- in 9 months another baby boom 2- Netflix will love it 3- Online shopping booming ???",9.016439,5.807203
Online shopping getting new records? #coronavirus,9.7095585,5.2408266
